2021,Sunrise/Sunset,,Daylength,,Astronomical Twilight,,Nautical Twilight,,Civil Twilight,,Solar Noon,
10/7/2021,7:17 am ? (97°),6:41 pm ? (263°),11:23:55,?2:59,5:41 AM,8:17 PM,6:15 AM,7:43 PM,6:48 AM,7:10 PM,1:00 pm (40.1°),92.894
10/8/2021,7:18 am ? (98°),6:39 pm ? (262°),11:20:57,?2:58,5:42 AM,8:15 PM,6:16 AM,7:42 PM,6:50 AM,7:08 PM,12:59 pm (39.8°),92.867
10/9/2021,7:20 am ? (98°),6:38 pm ? (262°),11:17:58,?2:58,5:44 AM,8:13 PM,6:17 AM,7:40 PM,6:51 AM,7:07 PM,12:59 pm (39.4°),92.84
10/10/2021,7:21 am ? (99°),6:36 pm ? (261°),11:15:00,?2:58,5:45 AM,8:12 PM,6:18 AM,7:38 PM,6:52 AM,7:05 PM,12:59 pm (39.0°),92.813
10/11/2021,7:22 am ? (99°),6:34 pm ? (260°),11:12:02,?2:57,5:46 AM,8:10 PM,6:20 AM,7:36 PM,6:53 AM,7:03 PM,12:58 pm (38.6°),92.785
10/12/2021,7:23 am ? (100°),6:32 pm ? (260°),11:09:05,?2:57,5:47 AM,8:08 PM,6:21 AM,7:35 PM,6:54 AM,7:01 PM,12:58 pm (38.3°),92.758
10/13/2021,7:25 am ? (100°),6:31 pm ? (259°),11:06:08,?2:56,5:49 AM,8:07 PM,6:22 AM,7:33 PM,6:56 AM,7:00 PM,12:58 pm (37.9°),92.731
10/14/2021,7:26 am ? (101°),6:29 pm ? (259°),11:03:12,?2:56,5:50 AM,8:05 PM,6:23 AM,7:31 PM,6:57 AM,6:58 PM,12:58 pm (37.5°),92.704
10/15/2021,7:27 am ? (101°),6:27 pm ? (258°),11:00:16,?2:55,5:51 AM,8:03 PM,6:24 AM,7:30 PM,6:58 AM,6:56 PM,12:58 pm (37.1°),92.677
10/16/2021,7:28 am ? (102°),6:26 pm ? (258°),10:57:21,?2:55,5:52 AM,8:02 PM,6:26 AM,7:28 PM,6:59 AM,6:55 PM,12:57 pm (36.8°),92.65
10/17/2021,7:30 am ? (102°),6:24 pm ? (257°),10:54:26,?2:54,5:53 AM,8:00 PM,6:27 AM,7:27 PM,7:00 AM,6:53 PM,12:57 pm (36.4°),92.624
10/18/2021,7:31 am ? (103°),6:22 pm ? (257°),10:51:32,?2:54,5:55 AM,7:58 PM,6:28 AM,7:25 PM,7:02 AM,6:52 PM,12:57 pm (36.1°),92.597
10/19/2021,7:32 am ? (103°),6:21 pm ? (256°),10:48:38,?2:53,5:56 AM,7:57 PM,6:29 AM,7:24 PM,7:03 AM,6:50 PM,12:57 pm (35.7°),92.571
10/20/2021,7:33 am ? (104°),6:19 pm ? (256°),10:45:45,?2:52,5:57 AM,7:55 PM,6:30 AM,7:22 PM,7:04 AM,6:48 PM,12:57 pm (35.3°),92.545
10/21/2021,7:35 am ? (104°),6:18 pm ? (255°),10:42:53,?2:52,5:58 AM,7:54 PM,6:32 AM,7:21 PM,7:05 AM,6:47 PM,12:56 pm (35.0°),92.52
10/22/2021,7:36 am ? (105°),6:16 pm ? (255°),10:40:02,?2:51,5:59 AM,7:52 PM,6:33 AM,7:19 PM,7:06 AM,6:45 PM,12:56 pm (34.6°),92.494
10/23/2021,7:37 am ? (105°),6:14 pm ? (254°),10:37:11,?2:50,6:01 AM,7:51 PM,6:34 AM,7:18 PM,7:08 AM,6:44 PM,12:56 pm (34.3°),92.469
10/24/2021,7:38 am ? (106°),6:13 pm ? (254°),10:34:22,?2:49,6:02 AM,7:50 PM,6:35 AM,7:16 PM,7:09 AM,6:42 PM,12:56 pm (33.9°),92.444
10/25/2021,7:40 am ? (106°),6:11 pm ? (253°),10:31:33,?2:48,6:03 AM,7:48 PM,6:36 AM,7:15 PM,7:10 AM,6:41 PM,12:56 pm (33.6°),92.419
10/26/2021,7:41 am ? (107°),6:10 pm ? (253°),10:28:45,?2:47,6:04 AM,7:47 PM,6:38 AM,7:13 PM,7:11 AM,6:40 PM,12:56 pm (33.3°),92.395
10/27/2021,7:42 am ? (107°),6:08 pm ? (252°),10:25:58,?2:46,6:05 AM,7:45 PM,6:39 AM,7:12 PM,7:13 AM,6:38 PM,12:56 pm (32.9°),92.37
10/28/2021,7:44 am ? (108°),6:07 pm ? (252°),10:23:12,?2:45,6:06 AM,7:44 PM,6:40 AM,7:11 PM,7:14 AM,6:37 PM,12:56 pm (32.6°),92.346
10/29/2021,7:45 am ? (108°),6:05 pm ? (251°),10:20:27,?2:44,6:08 AM,7:43 PM,6:41 AM,7:09 PM,7:15 AM,6:35 PM,12:56 pm (32.3°),92.322
10/30/2021,7:46 am ? (109°),6:04 pm ? (251°),10:17:44,?2:43,6:09 AM,7:42 PM,6:42 AM,7:08 PM,7:16 AM,6:34 PM,12:55 pm (31.9°),92.298
10/31/2021,7:48 am ? (109°),6:03 pm ? (251°),10:15:01,?2:42,6:10 AM,7:40 PM,6:44 AM,7:07 PM,7:18 AM,6:33 PM,12:55 pm (31.6°),92.274
11/1/2021,7:49 am ? (110°),6:01 pm ? (250°),10:12:20,?2:41,6:11 AM,7:39 PM,6:45 AM,7:06 PM,7:19 AM,6:31 PM,12:55 pm (31.3°),92.251
11/2/2021,7:50 am ? (110°),6:00 pm ? (250°),10:09:40,?2:39,6:12 AM,7:38 PM,6:46 AM,7:04 PM,7:20 AM,6:30 PM,12:55 pm (31.0°),92.227
11/3/2021,7:52 am ? (111°),5:59 pm ? (249°),10:07:01,?2:38,6:13 AM,7:37 PM,6:47 AM,7:03 PM,7:21 AM,6:29 PM,12:55 pm (30.7°),92.204
11/4/2021,7:53 am ? (111°),5:57 pm ? (249°),10:04:24,?2:37,6:15 AM,7:36 PM,6:48 AM,7:02 PM,7:23 AM,6:28 PM,12:55 pm (30.4°),92.181
11/5/2021,7:54 am ? (111°),5:56 pm ? (248°),10:01:49,?2:35,6:16 AM,7:35 PM,6:50 AM,7:01 PM,7:24 AM,6:27 PM,12:55 pm (30.0°),92.157
11/6/2021,7:56 am ? (112°),5:55 pm ? (248°),9:59:15,?2:33,6:17 AM,7:34 PM,6:51 AM,7:00 PM,7:25 AM,6:25 PM,12:56 pm (29.8°),92.134
Note: hours shift because clocks change backward 1 hour. (See the note below this table for details),,,,,,,,,,,,
11/7/2021,6:57 am ? (112°),4:54 pm ? (247°),9:56:43,?2:32,5:18 AM,6:32 PM,5:52 AM,5:59 PM,6:26 AM,5:24 PM,11:56 am (29.5°),92.111
11/8/2021,6:58 am ? (113°),4:53 pm ? (247°),9:54:12,?2:30,5:19 AM,6:31 PM,5:53 AM,5:58 PM,6:28 AM,5:23 PM,11:56 am (29.2°),92.088
11/9/2021,7:00 am ? (113°),4:51 pm ? (247°),9:51:44,?2:28,5:20 AM,6:31 PM,5:54 AM,5:57 PM,6:29 AM,5:22 PM,11:56 am (28.9°),92.066
11/10/2021,7:01 am ? (114°),4:50 pm ? (246°),9:49:17,?2:26,5:22 AM,6:30 PM,5:55 AM,5:56 PM,6:30 AM,5:21 PM,11:56 am (28.6°),92.043
11/11/2021,7:02 am ? (114°),4:49 pm ? (246°),9:46:52,?2:24,5:23 AM,6:29 PM,5:57 AM,5:55 PM,6:31 AM,5:20 PM,11:56 am (28.3°),92.021
11/12/2021,7:04 am ? (114°),4:48 pm ? (245°),9:44:29,?2:22,5:24 AM,6:28 PM,5:58 AM,5:54 PM,6:33 AM,5:19 PM,11:56 am (28.1°),91.999
11/13/2021,7:05 am ? (115°),4:47 pm ? (245°),9:42:09,?2:20,5:25 AM,6:27 PM,5:59 AM,5:53 PM,6:34 AM,5:18 PM,11:56 am (27.8°),91.977
11/14/2021,7:06 am ? (115°),4:46 pm ? (245°),9:39:50,?2:18,5:26 AM,6:26 PM,6:00 AM,5:52 PM,6:35 AM,5:17 PM,11:56 am (27.5°),91.956
11/15/2021,7:08 am ? (116°),4:45 pm ? (244°),9:37:34,?2:16,5:27 AM,6:25 PM,6:01 AM,5:51 PM,6:36 AM,5:16 PM,11:57 am (27.3°),91.935
11/16/2021,7:09 am ? (116°),4:44 pm ? (244°),9:35:21,?2:13,5:28 AM,6:25 PM,6:02 AM,5:51 PM,6:38 AM,5:15 PM,11:57 am (27.0°),91.914
11/17/2021,7:10 am ? (116°),4:43 pm ? (244°),9:33:09,?2:11,5:29 AM,6:24 PM,6:04 AM,5:50 PM,6:39 AM,5:15 PM,11:57 am (26.8°),91.894
11/18/2021,7:11 am ? (117°),4:42 pm ? (243°),9:31:01,?2:08,5:30 AM,6:23 PM,6:05 AM,5:49 PM,6:40 AM,5:14 PM,11:57 am (26.6°),91.875
11/19/2021,7:13 am ? (117°),4:42 pm ? (243°),9:28:55,?2:06,5:32 AM,6:23 PM,6:06 AM,5:48 PM,6:41 AM,5:13 PM,11:57 am (26.3°),91.855
11/20/2021,7:14 am ? (117°),4:41 pm ? (243°),9:26:51,?2:03,5:33 AM,6:22 PM,6:07 AM,5:48 PM,6:42 AM,5:12 PM,11:58 am (26.1°),91.837
11/21/2021,7:15 am ? (118°),4:40 pm ? (242°),9:24:51,?2:00,5:34 AM,6:22 PM,6:08 AM,5:47 PM,6:44 AM,5:12 PM,11:58 am (25.9°),91.818
11/22/2021,7:16 am ? (118°),4:39 pm ? (242°),9:22:53,?1:57,5:35 AM,6:21 PM,6:09 AM,5:47 PM,6:45 AM,5:11 PM,11:58 am (25.7°),91.8
11/23/2021,7:18 am ? (118°),4:39 pm ? (242°),9:20:58,?1:54,5:36 AM,6:21 PM,6:10 AM,5:46 PM,6:46 AM,5:11 PM,11:58 am (25.5°),91.783
11/24/2021,7:19 am ? (118°),4:38 pm ? (241°),9:19:06,?1:51,5:37 AM,6:20 PM,6:11 AM,5:46 PM,6:47 AM,5:10 PM,11:59 am (25.3°),91.766
11/25/2021,7:20 am ? (119°),4:37 pm ? (241°),9:17:18,?1:48,5:38 AM,6:20 PM,6:12 AM,5:45 PM,6:48 AM,5:10 PM,11:59 am (25.1°),91.749
11/26/2021,7:21 am ? (119°),4:37 pm ? (241°),9:15:33,?1:45,5:39 AM,6:19 PM,6:14 AM,5:45 PM,6:49 AM,5:09 PM,11:59 am (24.9°),91.733
11/27/2021,7:23 am ? (119°),4:36 pm ? (241°),9:13:51,?1:41,5:40 AM,6:19 PM,6:15 AM,5:44 PM,6:50 AM,5:09 PM,12:00 pm (24.7°),91.717
11/28/2021,7:24 am ? (120°),4:36 pm ? (240°),9:12:12,?1:38,5:41 AM,6:19 PM,6:16 AM,5:44 PM,6:51 AM,5:08 PM,12:00 pm (24.5°),91.702
11/29/2021,7:25 am ? (120°),4:36 pm ? (240°),9:10:37,?1:35,5:42 AM,6:18 PM,6:17 AM,5:44 PM,6:53 AM,5:08 PM,12:00 pm (24.4°),91.686
11/30/2021,7:26 am ? (120°),4:35 pm ? (240°),9:09:05,?1:31,5:43 AM,6:18 PM,6:18 AM,5:43 PM,6:54 AM,5:08 PM,12:01 pm (24.2°),91.672
12/1/2021,7:27 am ? (120°),4:35 pm ? (240°),9:07:38,?1:27,5:44 AM,6:18 PM,6:19 AM,5:43 PM,6:55 AM,5:07 PM,12:01 pm (24.1°),91.657
12/2/2021,7:28 am ? (121°),4:34 pm ? (239°),9:06:13,?1:24,5:45 AM,6:18 PM,6:20 AM,5:43 PM,6:56 AM,5:07 PM,12:01 pm (23.9°),91.643
12/3/2021,7:29 am ? (121°),4:34 pm ? (239°),9:04:53,?1:20,5:46 AM,6:18 PM,6:21 AM,5:43 PM,6:57 AM,5:07 PM,12:02 pm (23.8°),91.629
12/4/2021,7:30 am ? (121°),4:34 pm ? (239°),9:03:37,?1:16,5:47 AM,6:18 PM,6:22 AM,5:43 PM,6:58 AM,5:07 PM,12:02 pm (23.6°),91.615
12/5/2021,7:31 am ? (121°),4:34 pm ? (239°),9:02:24,?1:12,5:48 AM,6:18 PM,6:22 AM,5:43 PM,6:59 AM,5:06 PM,12:03 pm (23.5°),91.602
12/6/2021,7:32 am ? (121°),4:34 pm ? (239°),9:01:16,?1:08,5:48 AM,6:18 PM,6:23 AM,5:43 PM,7:00 AM,5:06 PM,12:03 pm (23.4°),91.588
12/7/2021,7:33 am ? (121°),4:34 pm ? (238°),9:00:12,?1:04,5:49 AM,6:18 PM,6:24 AM,5:43 PM,7:01 AM,5:06 PM,12:04 pm (23.3°),91.575
12/8/2021,7:34 am ? (122°),4:34 pm ? (238°),8:59:11,?1:00,5:50 AM,6:18 PM,6:25 AM,5:43 PM,7:01 AM,5:06 PM,12:04 pm (23.2°),91.563
12/9/2021,7:35 am ? (122°),4:33 pm ? (238°),8:58:16,?0:55,5:51 AM,6:18 PM,6:26 AM,5:43 PM,7:02 AM,5:06 PM,12:04 pm (23.1°),91.551
12/10/2021,7:36 am ? (122°),4:34 pm ? (238°),8:57:24,?0:51,5:52 AM,6:18 PM,6:27 AM,5:43 PM,7:03 AM,5:06 PM,12:05 pm (23.0°),91.539
12/11/2021,7:37 am ? (122°),4:34 pm ? (238°),8:56:37,?0:47,5:52 AM,6:18 PM,6:28 AM,5:43 PM,7:04 AM,5:07 PM,12:05 pm (22.9°),91.527
12/12/2021,7:38 am ? (122°),4:34 pm ? (238°),8:55:54,?0:42,5:53 AM,6:18 PM,6:28 AM,5:43 PM,7:05 AM,5:07 PM,12:06 pm (22.9°),91.516
12/13/2021,7:39 am ? (122°),4:34 pm ? (238°),8:55:16,?0:38,5:54 AM,6:19 PM,6:29 AM,5:43 PM,7:06 AM,5:07 PM,12:06 pm (22.8°),91.506
12/14/2021,7:39 am ? (122°),4:34 pm ? (238°),8:54:42,?0:33,5:55 AM,6:19 PM,6:30 AM,5:44 PM,7:06 AM,5:07 PM,12:07 pm (22.7°),91.496
12/15/2021,7:40 am ? (122°),4:34 pm ? (238°),8:54:13,?0:29,5:55 AM,6:19 PM,6:30 AM,5:44 PM,7:07 AM,5:07 PM,12:07 pm (22.7°),91.486
12/16/2021,7:41 am ? (122°),4:35 pm ? (237°),8:53:48,?0:24,5:56 AM,6:19 PM,6:31 AM,5:44 PM,7:08 AM,5:08 PM,12:08 pm (22.6°),91.478
12/17/2021,7:41 am ? (123°),4:35 pm ? (237°),8:53:28,?0:20,5:57 AM,6:20 PM,6:32 AM,5:45 PM,7:08 AM,5:08 PM,12:08 pm (22.6°),91.469
12/18/2021,7:42 am ? (123°),4:35 pm ? (237°),8:53:13,?0:15,5:57 AM,6:20 PM,6:32 AM,5:45 PM,7:09 AM,5:08 PM,12:09 pm (22.6°),91.461
12/19/2021,7:43 am ? (123°),4:36 pm ? (237°),8:53:02,?0:10,5:58 AM,6:21 PM,6:33 AM,5:45 PM,7:10 AM,5:09 PM,12:09 pm (22.6°),91.454
12/20/2021,7:43 am ? (123°),4:36 pm ? (237°),8:52:56,?0:06,5:58 AM,6:21 PM,6:33 AM,5:46 PM,7:10 AM,5:09 PM,12:10 pm (22.6°),91.448
12/21/2021,7:44 am ? (123°),4:37 pm ? (237°),8:52:55,?0:01,5:59 AM,6:22 PM,6:34 AM,5:46 PM,7:11 AM,5:10 PM,12:10 pm (22.5°),91.441
12/22/2021,7:44 am ? (123°),4:37 pm ? (237°),8:52:58,+0:03,5:59 AM,6:22 PM,6:34 AM,5:47 PM,7:11 AM,5:10 PM,12:11 pm (22.6°),91.436
12/23/2021,7:45 am ? (123°),4:38 pm ? (237°),8:53:06,+0:07,6:00 AM,6:23 PM,6:35 AM,5:47 PM,7:12 AM,5:11 PM,12:11 pm (22.6°),91.431
12/24/2021,7:45 am ? (123°),4:38 pm ? (237°),8:53:18,+0:12,6:00 AM,6:23 PM,6:35 AM,5:48 PM,7:12 AM,5:11 PM,12:12 pm (22.6°),91.427
12/25/2021,7:45 am ? (123°),4:39 pm ? (237°),8:53:35,+0:17,6:01 AM,6:24 PM,6:36 AM,5:49 PM,7:12 AM,5:12 PM,12:12 pm (22.6°),91.423
12/26/2021,7:46 am ? (122°),4:40 pm ? (238°),8:53:57,+0:21,6:01 AM,6:25 PM,6:36 AM,5:49 PM,7:13 AM,5:13 PM,12:13 pm (22.7°),91.419
12/27/2021,7:46 am ? (122°),4:40 pm ? (238°),8:54:23,+0:26,6:01 AM,6:25 PM,6:36 AM,5:50 PM,7:13 AM,5:13 PM,12:13 pm (22.7°),91.416
12/28/2021,7:46 am ? (122°),4:41 pm ? (238°),8:54:54,+0:30,6:02 AM,6:26 PM,6:37 AM,5:51 PM,7:13 AM,5:14 PM,12:14 pm (22.8°),91.414
12/29/2021,7:46 am ? (122°),4:42 pm ? (238°),8:55:30,+0:35,6:02 AM,6:27 PM,6:37 AM,5:51 PM,7:13 AM,5:15 PM,12:14 pm (22.8°),91.412
12/30/2021,7:47 am ? (122°),4:43 pm ? (238°),8:56:10,+0:40,6:02 AM,6:27 PM,6:37 AM,5:52 PM,7:14 AM,5:16 PM,12:15 pm (22.9°),91.41
12/31/2021,7:47 am ? (122°),4:44 pm ? (238°),8:56:54,+0:44,6:02 AM,6:28 PM,6:37 AM,5:53 PM,7:14 AM,5:17 PM,12:15 pm (23.0°),91.409
1/1/2022,7:47 am ? (122°),4:45 pm ? (238°),8:57:43,+0:48,6:02 AM,6:29 PM,6:37 AM,5:54 PM,7:14 AM,5:17 PM,12:16 pm (23.0°),91.408
1/2/2022,7:47 am ? (122°),4:45 pm ? (238°),8:58:37,+0:53,6:03 AM,6:30 PM,6:38 AM,5:55 PM,7:14 AM,5:18 PM,12:16 pm (23.1°),91.407
1/3/2022,7:47 am ? (122°),4:46 pm ? (238°),8:59:34,+0:57,6:03 AM,6:31 PM,6:38 AM,5:56 PM,7:14 AM,5:19 PM,12:16 pm (23.2°),91.407
1/4/2022,7:47 am ? (121°),4:47 pm ? (239°),9:00:36,+1:01,6:03 AM,6:31 PM,6:38 AM,5:56 PM,7:14 AM,5:20 PM,12:17 pm (23.3°),91.407
1/5/2022,7:47 am ? (121°),4:48 pm ? (239°),9:01:42,+1:06,6:03 AM,6:32 PM,6:38 AM,5:57 PM,7:14 AM,5:21 PM,12:17 pm (23.4°),91.407
1/6/2022,7:47 am ? (121°),4:49 pm ? (239°),9:02:53,+1:10,6:03 AM,6:33 PM,6:38 AM,5:58 PM,7:14 AM,5:22 PM,12:18 pm (23.6°),91.408
1/7/2022,7:46 am ? (121°),4:50 pm ? (239°),9:04:07,+1:14,6:03 AM,6:34 PM,6:38 AM,5:59 PM,7:14 AM,5:23 PM,12:18 pm (23.7°),91.409
1/8/2022,7:46 am ? (121°),4:52 pm ? (239°),9:05:25,+1:18,6:03 AM,6:35 PM,6:37 AM,6:00 PM,7:14 AM,5:24 PM,12:19 pm (23.8°),91.411
1/9/2022,7:46 am ? (121°),4:53 pm ? (240°),9:06:48,+1:22,6:03 AM,6:36 PM,6:37 AM,6:01 PM,7:13 AM,5:25 PM,12:19 pm (24.0°),91.413
1/10/2022,7:46 am ? (120°),4:54 pm ? (240°),9:08:14,+1:26,6:02 AM,6:37 PM,6:37 AM,6:02 PM,7:13 AM,5:26 PM,12:20 pm (24.1°),91.415
1/11/2022,7:45 am ? (120°),4:55 pm ? (240°),9:09:44,+1:29,6:02 AM,6:38 PM,6:37 AM,6:03 PM,7:13 AM,5:27 PM,12:20 pm (24.3°),91.418
1/12/2022,7:45 am ? (120°),4:56 pm ? (240°),9:11:17,+1:33,6:02 AM,6:39 PM,6:37 AM,6:04 PM,7:13 AM,5:28 PM,12:20 pm (24.4°),91.422
1/13/2022,7:44 am ? (120°),4:57 pm ? (241°),9:12:54,+1:37,6:02 AM,6:40 PM,6:36 AM,6:05 PM,7:12 AM,5:30 PM,12:21 pm (24.6°),91.426
1/14/2022,7:44 am ? (119°),4:59 pm ? (241°),9:14:35,+1:40,6:01 AM,6:41 PM,6:36 AM,6:06 PM,7:12 AM,5:31 PM,12:21 pm (24.8°),91.43
1/15/2022,7:43 am ? (119°),5:00 pm ? (241°),9:16:19,+1:44,6:01 AM,6:42 PM,6:36 AM,6:08 PM,7:11 AM,5:32 PM,12:21 pm (25.0°),91.435
1/16/2022,7:43 am ? (119°),5:01 pm ? (241°),9:18:07,+1:47,6:01 AM,6:43 PM,6:35 AM,6:09 PM,7:11 AM,5:33 PM,12:22 pm (25.2°),91.441
1/17/2022,7:42 am ? (118°),5:02 pm ? (242°),9:19:58,+1:50,6:00 AM,6:44 PM,6:35 AM,6:10 PM,7:10 AM,5:34 PM,12:22 pm (25.4°),91.447
1/18/2022,7:42 am ? (118°),5:03 pm ? (242°),9:21:51,+1:53,6:00 AM,6:45 PM,6:34 AM,6:11 PM,7:10 AM,5:35 PM,12:22 pm (25.6°),91.454
1/19/2022,7:41 am ? (118°),5:05 pm ? (242°),9:23:48,+1:57,5:59 AM,6:46 PM,6:34 AM,6:12 PM,7:09 AM,5:37 PM,12:23 pm (25.8°),91.462
1/20/2022,7:40 am ? (118°),5:06 pm ? (243°),9:25:49,+2:00,5:59 AM,6:48 PM,6:33 AM,6:13 PM,7:09 AM,5:38 PM,12:23 pm (26.0°),91.47
1/21/2022,7:40 am ? (117°),5:07 pm ? (243°),9:27:51,+2:02,5:58 AM,6:49 PM,6:33 AM,6:14 PM,7:08 AM,5:39 PM,12:23 pm (26.2°),91.478
1/22/2022,7:39 am ? (117°),5:09 pm ? (243°),9:29:57,+2:05,5:58 AM,6:50 PM,6:32 AM,6:15 PM,7:07 AM,5:40 PM,12:24 pm (26.4°),91.487
1/23/2022,7:38 am ? (117°),5:10 pm ? (244°),9:32:06,+2:08,5:57 AM,6:51 PM,6:31 AM,6:17 PM,7:07 AM,5:41 PM,12:24 pm (26.7°),91.497
1/24/2022,7:37 am ? (116°),5:11 pm ? (244°),9:34:17,+2:11,5:56 AM,6:52 PM,6:31 AM,6:18 PM,7:06 AM,5:43 PM,12:24 pm (26.9°),91.507
1/25/2022,7:36 am ? (116°),5:13 pm ? (244°),9:36:31,+2:13,5:56 AM,6:53 PM,6:30 AM,6:19 PM,7:05 AM,5:44 PM,12:24 pm (27.2°),91.518
1/26/2022,7:35 am ? (115°),5:14 pm ? (245°),9:38:47,+2:16,5:55 AM,6:54 PM,6:29 AM,6:20 PM,7:04 AM,5:45 PM,12:24 pm (27.4°),91.529
1/27/2022,7:34 am ? (115°),5:15 pm ? (245°),9:41:06,+2:18,5:54 AM,6:56 PM,6:28 AM,6:21 PM,7:03 AM,5:47 PM,12:25 pm (27.7°),91.54
1/28/2022,7:33 am ? (115°),5:17 pm ? (245°),9:43:27,+2:21,5:54 AM,6:57 PM,6:28 AM,6:23 PM,7:02 AM,5:48 PM,12:25 pm (27.9°),91.552
1/29/2022,7:32 am ? (114°),5:18 pm ? (246°),9:45:50,+2:23,5:53 AM,6:58 PM,6:27 AM,6:24 PM,7:01 AM,5:49 PM,12:25 pm (28.2°),91.564
1/30/2022,7:31 am ? (114°),5:20 pm ? (246°),9:48:15,+2:25,5:52 AM,6:59 PM,6:26 AM,6:25 PM,7:00 AM,5:50 PM,12:25 pm (28.5°),91.576
1/31/2022,7:30 am ? (114°),5:21 pm ? (247°),9:50:43,+2:27,5:51 AM,7:00 PM,6:25 AM,6:26 PM,6:59 AM,5:52 PM,12:25 pm (28.8°),91.589
2/1/2022,7:29 am ? (113°),5:22 pm ? (247°),9:53:12,+2:29,5:50 AM,7:01 PM,6:24 AM,6:28 PM,6:58 AM,5:53 PM,12:25 pm (29.1°),91.602
2/2/2022,7:28 am ? (113°),5:24 pm ? (247°),9:55:44,+2:31,5:49 AM,7:03 PM,6:23 AM,6:29 PM,6:57 AM,5:54 PM,12:26 pm (29.3°),91.615
2/3/2022,7:27 am ? (112°),5:25 pm ? (248°),9:58:17,+2:33,5:48 AM,7:04 PM,6:22 AM,6:30 PM,6:56 AM,5:56 PM,12:26 pm (29.6°),91.628
2/4/2022,7:26 am ? (112°),5:26 pm ? (248°),10:00:52,+2:34,5:47 AM,7:05 PM,6:21 AM,6:31 PM,6:55 AM,5:57 PM,12:26 pm (29.9°),91.642
2/5/2022,7:24 am ? (111°),5:28 pm ? (249°),10:03:28,+2:36,5:46 AM,7:06 PM,6:20 AM,6:33 PM,6:54 AM,5:58 PM,12:26 pm (30.2°),91.656
2/6/2022,7:23 am ? (111°),5:29 pm ? (249°),10:06:07,+2:38,5:45 AM,7:08 PM,6:19 AM,6:34 PM,6:53 AM,6:00 PM,12:26 pm (30.5°),91.671
2/7/2022,7:22 am ? (111°),5:31 pm ? (250°),10:08:46,+2:39,5:44 AM,7:09 PM,6:18 AM,6:35 PM,6:52 AM,6:01 PM,12:26 pm (30.9°),91.686
2/8/2022,7:21 am ? (110°),5:32 pm ? (250°),10:11:28,+2:41,5:43 AM,7:10 PM,6:16 AM,6:36 PM,6:50 AM,6:02 PM,12:26 pm (31.2°),91.701
2/9/2022,7:19 am ? (110°),5:33 pm ? (251°),10:14:10,+2:42,5:42 AM,7:11 PM,6:15 AM,6:38 PM,6:49 AM,6:04 PM,12:26 pm (31.5°),91.716
2/10/2022,7:18 am ? (109°),5:35 pm ? (251°),10:16:54,+2:44,5:40 AM,7:12 PM,6:14 AM,6:39 PM,6:48 AM,6:05 PM,12:26 pm (31.8°),91.732
2/11/2022,7:17 am ? (109°),5:36 pm ? (252°),10:19:40,+2:45,5:39 AM,7:14 PM,6:13 AM,6:40 PM,6:47 AM,6:06 PM,12:26 pm (32.2°),91.748
2/12/2022,7:15 am ? (108°),5:38 pm ? (252°),10:22:26,+2:46,5:38 AM,7:15 PM,6:11 AM,6:41 PM,6:45 AM,6:07 PM,12:26 pm (32.5°),91.765
2/13/2022,7:14 am ? (108°),5:39 pm ? (252°),10:25:14,+2:47,5:37 AM,7:16 PM,6:10 AM,6:43 PM,6:44 AM,6:09 PM,12:26 pm (32.8°),91.782
2/14/2022,7:12 am ? (107°),5:40 pm ? (253°),10:28:03,+2:48,5:35 AM,7:17 PM,6:09 AM,6:44 PM,6:43 AM,6:10 PM,12:26 pm (33.2°),91.8
2/15/2022,7:11 am ? (107°),5:42 pm ? (253°),10:30:53,+2:49,5:34 AM,7:19 PM,6:07 AM,6:45 PM,6:41 AM,6:11 PM,12:26 pm (33.5°),91.818
2/16/2022,7:09 am ? (106°),5:43 pm ? (254°),10:33:43,+2:50,5:33 AM,7:20 PM,6:06 AM,6:46 PM,6:40 AM,6:13 PM,12:26 pm (33.9°),91.837
2/17/2022,7:08 am ? (106°),5:44 pm ? (254°),10:36:35,+2:51,5:31 AM,7:21 PM,6:05 AM,6:48 PM,6:38 AM,6:14 PM,12:26 pm (34.2°),91.856
2/18/2022,7:06 am ? (105°),5:46 pm ? (255°),10:39:28,+2:52,5:30 AM,7:22 PM,6:03 AM,6:49 PM,6:37 AM,6:15 PM,12:26 pm (34.6°),91.875
2/19/2022,7:05 am ? (105°),5:47 pm ? (255°),10:42:21,+2:53,5:28 AM,7:24 PM,6:02 AM,6:50 PM,6:35 AM,6:17 PM,12:26 pm (34.9°),91.895
2/20/2022,7:03 am ? (104°),5:48 pm ? (256°),10:45:16,+2:54,5:27 AM,7:25 PM,6:00 AM,6:51 PM,6:34 AM,6:18 PM,12:26 pm (35.3°),91.916
2/21/2022,7:02 am ? (104°),5:50 pm ? (256°),10:48:11,+2:55,5:25 AM,7:26 PM,5:59 AM,6:53 PM,6:32 AM,6:19 PM,12:25 pm (35.6°),91.936
2/22/2022,7:00 am ? (103°),5:51 pm ? (257°),10:51:07,+2:55,5:24 AM,7:27 PM,5:57 AM,6:54 PM,6:31 AM,6:20 PM,12:25 pm (36.0°),91.957
2/23/2022,6:58 am ? (103°),5:53 pm ? (258°),10:54:03,+2:56,5:22 AM,7:29 PM,5:56 AM,6:55 PM,6:29 AM,6:22 PM,12:25 pm (36.4°),91.979
